Last module: ln_f
Model Len: 364
Per-module activation-GB to execution-time throughput (GB/s):
h.20.mlp.c_proj, Conv1D: time=0.000028s, act=0.0317GB, throughput=1147.586207GB/s
h.34.attn.c_proj, Conv1D: time=0.000025s, act=0.0276GB, throughput=1124.660801GB/s
h.12.attn.c_proj, Conv1D: time=0.000025s, act=0.0276GB, throughput=1103.238690GB/s
h.11.mlp.c_proj, Conv1D: time=0.000029s, act=0.0317GB, throughput=1100.165289GB/s
h.14.mlp.c_proj, Conv1D: time=0.000029s, act=0.0317GB, throughput=1091.147541GB/s
h.22.mlp.c_proj, Conv1D: time=0.000029s, act=0.0317GB, throughput=1091.147541GB/s
h.28.attn.c_proj, Conv1D: time=0.000026s, act=0.0276GB, throughput=1072.593171GB/s
h.23.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1064.960000GB/s
h.29.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1064.960000GB/s
h.12.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1056.507937GB/s
h.13.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1056.507937GB/s
h.16.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1056.507937GB/s
h.10.attn.c_proj, Conv1D: time=0.000026s, act=0.0276GB, throughput=1053.091477GB/s
h.32.attn.c_proj, Conv1D: time=0.000026s, act=0.0276GB, throughput=1053.091477GB/s
h.9.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1048.188976GB/s
h.15.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1048.188976GB/s
h.19.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1048.188976GB/s
h.21.mlp.c_proj, Conv1D: time=0.000030s, act=0.0317GB, throughput=1048.188976GB/s
h.16.attn.c_proj, Conv1D: time=0.000026s, act=0.0276GB, throughput=1043.604167GB/s
h.24.mlp.c_proj, Conv1D: time=0.000031s, act=0.0317GB, throughput=1031.937984GB/s
h.30.attn.c_proj, Conv1D: time=0.000027s, act=0.0276GB, throughput=1025.133296GB/s
h.10.mlp.c_proj, Conv1D: time=0.000031s, act=0.0317GB, throughput=1024.000000GB/s
h.17.mlp.c_proj, Conv1D: time=0.000031s, act=0.0317GB, throughput=1024.000000GB/s
h.25.mlp.c_proj, Conv1D: time=0.000031s, act=0.0317GB, throughput=1024.000000GB/s
h.35.mlp.c_proj, Conv1D: time=0.000031s, act=0.0317GB, throughput=1024.000000GB/s
h.5.mlp.c_proj, Conv1D: time=0.000031s, act=0.0317GB, throughput=1016.183206GB/s
h.18.attn.c_proj, Conv1D: time=0.000027s, act=0.0276GB, throughput=1016.140899GB/s
h.27.mlp.c_proj, Conv1D: time=0.000031s, act=0.0317GB, throughput=1008.484848GB/s
