Last module: norm
Model Len: 163
Per-module activation-GB to execution-time throughput (GB/s):
layers.5.mlp.down_proj, Linear: time=0.000021s, act=0.1250GB, throughput=6026.298851GB/s
layers.10.mlp.down_proj, Linear: time=0.000022s, act=0.1250GB, throughput=5761.406593GB/s
layers.12.mlp.down_proj, Linear: time=0.000022s, act=0.1250GB, throughput=5761.406593GB/s
layers.14.mlp.down_proj, Linear: time=0.000022s, act=0.1250GB, throughput=5761.406593GB/s
layers.6.mlp.down_proj, Linear: time=0.000022s, act=0.1250GB, throughput=5577.531915GB/s
layers.11.mlp.down_proj, Linear: time=0.000022s, act=0.1250GB, throughput=5577.531915GB/s
layers.3.mlp.down_proj, Linear: time=0.000023s, act=0.1250GB, throughput=5518.821053GB/s
layers.9.mlp.down_proj, Linear: time=0.000023s, act=0.1250GB, throughput=5461.333333GB/s
layers.13.mlp.down_proj, Linear: time=0.000023s, act=0.1250GB, throughput=5461.333333GB/s
layers.1.mlp.down_proj, Linear: time=0.000023s, act=0.1250GB, throughput=5405.030928GB/s
layers.2.mlp.down_proj, Linear: time=0.000023s, act=0.1250GB, throughput=5405.030928GB/s
layers.7.mlp.down_proj, Linear: time=0.000023s, act=0.1250GB, throughput=5405.030928GB/s
layers.8.mlp.down_proj, Linear: time=0.000024s, act=0.1250GB, throughput=5295.838384GB/s
layers.4.mlp.down_proj, Linear: time=0.000025s, act=0.1250GB, throughput=5090.174757GB/s
layers.15.mlp.down_proj, Linear: time=0.000025s, act=0.1250GB, throughput=5090.174757GB/s
layers.0.mlp.down_proj, Linear: time=0.000056s, act=0.1250GB, throughput=2221.559322GB/s
layers.10.self_attn.o_proj, Linear: time=0.000023s, act=0.0474GB, throughput=2091.116447GB/s
layers.4.self_attn.o_proj, Linear: time=0.000025s, act=0.0474GB, throughput=1928.699636GB/s
layers.6.self_attn.o_proj, Linear: time=0.000025s, act=0.0474GB, throughput=1928.699636GB/s
layers.8.self_attn.o_proj, Linear: time=0.000025s, act=0.0474GB, throughput=1928.699636GB/s
layers.2.self_attn.o_proj, Linear: time=0.000028s, act=0.0474GB, throughput=1697.915064GB/s
layers.14.self_attn.o_proj, Linear: time=0.000029s, act=0.0474GB, throughput=1641.785640GB/s
layers.12.self_attn.o_proj, Linear: time=0.000029s, act=0.0474GB, throughput=1628.328381GB/s
layers.0.self_attn.o_proj, Linear: time=0.000045s, act=0.0474GB, throughput=1056.681184GB/s
layers.14.self_attn.v_proj, Linear: time=0.000013s, act=0.0098GB, throughput=758.518519GB/s
layers.15.self_attn.v_proj, Linear: time=0.000013s, act=0.0098GB, throughput=758.518519GB/s
layers.13.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=753.287356GB/s
layers.13.self_attn.v_proj, Linear: time=0.000013s, act=0.0098GB, throughput=744.727273GB/s
layers.6.self_attn.q_proj, Linear: time=0.000021s, act=0.0156GB, throughput=728.177778GB/s
layers.14.self_attn.q_proj, Linear: time=0.000022s, act=0.0156GB, throughput=712.347826GB/s
layers.11.self_attn.q_proj, Linear: time=0.000022s, act=0.0156GB, throughput=697.191489GB/s
layers.15.self_attn.q_proj, Linear: time=0.000022s, act=0.0156GB, throughput=697.191489GB/s
layers.3.self_attn.k_proj, Linear: time=0.000014s, act=0.0098GB, throughput=694.237288GB/s
layers.5.self_attn.v_proj, Linear: time=0.000014s, act=0.0098GB, throughput=694.237288GB/s
layers.9.self_attn.v_proj, Linear: time=0.000014s, act=0.0098GB, throughput=694.237288GB/s
layers.2.self_attn.q_proj, Linear: time=0.000023s, act=0.0156GB, throughput=689.852632GB/s
layers.12.self_attn.q_proj, Linear: time=0.000023s, act=0.0156GB, throughput=689.852632GB/s
layers.10.self_attn.q_proj, Linear: time=0.000023s, act=0.0156GB, throughput=682.666667GB/s
layers.11.self_attn.v_proj, Linear: time=0.000014s, act=0.0098GB, throughput=682.666667GB/s
layers.3.self_attn.q_proj, Linear: time=0.000024s, act=0.0156GB, throughput=661.979798GB/s
layers.4.self_attn.q_proj, Linear: time=0.000024s, act=0.0156GB, throughput=661.979798GB/s
layers.6.self_attn.k_proj, Linear: time=0.000015s, act=0.0098GB, throughput=660.645161GB/s
layers.6.self_attn.v_proj, Linear: time=0.000015s, act=0.0098GB, throughput=660.645161GB/s
layers.13.self_attn.k_proj, Linear: time=0.000015s, act=0.0098GB, throughput=660.645161GB/s
layers.6.mlp.up_proj, Linear: time=0.000060s, act=0.0391GB, throughput=655.360000GB/s
layers.8.self_attn.q_proj, Linear: time=0.000024s, act=0.0156GB, throughput=655.360000GB/s
layers.9.self_attn.o_proj, Linear: time=0.000072s, act=0.0474GB, throughput=653.473890GB/s
layers.1.self_attn.o_proj, Linear: time=0.000073s, act=0.0474GB, throughput=651.331352GB/s
layers.2.self_attn.v_proj, Linear: time=0.000015s, act=0.0098GB, throughput=650.158730GB/s
layers.7.self_attn.v_proj, Linear: time=0.000015s, act=0.0098GB, throughput=650.158730GB/s
layers.10.self_attn.k_proj, Linear: time=0.000015s, act=0.0098GB, throughput=650.158730GB/s
layers.11.self_attn.k_proj, Linear: time=0.000015s, act=0.0098GB, throughput=650.158730GB/s
layers.12.self_attn.v_proj, Linear: time=0.000015s, act=0.0098GB, throughput=650.158730GB/s
layers.11.mlp.act_fn, SiLU: time=0.000048s, act=0.0312GB, throughput=648.871287GB/s
layers.7.self_attn.q_proj, Linear: time=0.000024s, act=0.0156GB, throughput=642.509804GB/s
layers.8.mlp.act_fn, SiLU: time=0.000049s, act=0.0312GB, throughput=642.509804GB/s
layers.15.mlp.up_proj, Linear: time=0.000061s, act=0.0391GB, throughput=642.509804GB/s
layers.10.self_attn.v_proj, Linear: time=0.000015s, act=0.0098GB, throughput=640.000000GB/s
layers.7.self_attn.o_proj, Linear: time=0.000074s, act=0.0474GB, throughput=638.765474GB/s
layers.9.mlp.up_proj, Linear: time=0.000061s, act=0.0391GB, throughput=637.509728GB/s
layers.13.mlp.up_proj, Linear: time=0.000062s, act=0.0391GB, throughput=635.038760GB/s
layers.1.mlp.up_proj, Linear: time=0.000062s, act=0.0391GB, throughput=630.153846GB/s
layers.9.mlp.act_fn, SiLU: time=0.000050s, act=0.0312GB, throughput=630.153846GB/s
