Last module: decoder.final_layer_norm
Model Len: 219
Per-module activation-GB to execution-time throughput (GB/s):
decoder.layers.11.fc2, Linear: time=0.000014s, act=0.0938GB, throughput=6779.586207GB/s
decoder.layers.12.fc2, Linear: time=0.000014s, act=0.0938GB, throughput=6664.677966GB/s
decoder.layers.23.fc2, Linear: time=0.000014s, act=0.0938GB, throughput=6664.677966GB/s
decoder.layers.5.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6446.163934GB/s
decoder.layers.19.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6446.163934GB/s
decoder.layers.7.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6342.193548GB/s
decoder.layers.3.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6241.523810GB/s
decoder.layers.6.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6241.523810GB/s
decoder.layers.17.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6241.523810GB/s
decoder.layers.9.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6049.476923GB/s
decoder.layers.14.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6049.476923GB/s
decoder.layers.16.fc2, Linear: time=0.000015s, act=0.0938GB, throughput=6049.476923GB/s
decoder.layers.21.fc2, Linear: time=0.000016s, act=0.0938GB, throughput=5957.818182GB/s
decoder.layers.4.fc2, Linear: time=0.000016s, act=0.0938GB, throughput=5868.895522GB/s
decoder.layers.18.fc2, Linear: time=0.000016s, act=0.0938GB, throughput=5868.895522GB/s
decoder.layers.15.fc2, Linear: time=0.000017s, act=0.0938GB, throughput=5617.371429GB/s
decoder.layers.8.fc2, Linear: time=0.000017s, act=0.0938GB, throughput=5461.333333GB/s
decoder.layers.22.fc2, Linear: time=0.000017s, act=0.0938GB, throughput=5461.333333GB/s
decoder.layers.13.fc2, Linear: time=0.000018s, act=0.0938GB, throughput=5313.729730GB/s
decoder.layers.2.fc2, Linear: time=0.000019s, act=0.0938GB, throughput=5041.230769GB/s
decoder.layers.20.fc2, Linear: time=0.000019s, act=0.0938GB, throughput=4915.200000GB/s
decoder.layers.1.fc2, Linear: time=0.000027s, act=0.0938GB, throughput=3419.269565GB/s
decoder.layers.10.fc2, Linear: time=0.000035s, act=0.0938GB, throughput=2693.260274GB/s
decoder.layers.12.self_attn.v_proj, Linear: time=0.000010s, act=0.0234GB, throughput=2286.139535GB/s
decoder.layers.18.self_attn.v_proj, Linear: time=0.000010s, act=0.0234GB, throughput=2286.139535GB/s
decoder.layers.11.self_attn.v_proj, Linear: time=0.000010s, act=0.0234GB, throughput=2234.181818GB/s
decoder.layers.14.self_attn.v_proj, Linear: time=0.000010s, act=0.0234GB, throughput=2234.181818GB/s
decoder.layers.19.self_attn.v_proj, Linear: time=0.000010s, act=0.0234GB, throughput=2234.181818GB/s
decoder.layers.22.self_attn.v_proj, Linear: time=0.000010s, act=0.0234GB, throughput=2234.181818GB/s
decoder.layers.9.self_attn.v_proj, Linear: time=0.000011s, act=0.0234GB, throughput=2184.533333GB/s
decoder.layers.8.self_attn.v_proj, Linear: time=0.000011s, act=0.0234GB, throughput=2137.043478GB/s
decoder.layers.13.self_attn.v_proj, Linear: time=0.000011s, act=0.0234GB, throughput=2137.043478GB/s
decoder.layers.16.self_attn.v_proj, Linear: time=0.000011s, act=0.0234GB, throughput=2137.043478GB/s
decoder.layers.20.self_attn.v_proj, Linear: time=0.000011s, act=0.0234GB, throughput=2137.043478GB/s
