Last module: decoder.final_layer_norm
Model Len: 219
Per-module activation-GB to execution-time throughput (GB/s):
decoder.layers.18.fc2, Linear: time=0.000018s, act=0.0625GB, throughput=3404.467532GB/s
decoder.layers.19.fc2, Linear: time=0.000018s, act=0.0625GB, throughput=3404.467532GB/s
decoder.layers.21.fc2, Linear: time=0.000018s, act=0.0625GB, throughput=3404.467532GB/s
decoder.layers.15.fc2, Linear: time=0.000019s, act=0.0625GB, throughput=3276.800000GB/s
decoder.layers.14.fc2, Linear: time=0.000019s, act=0.0625GB, throughput=3236.345679GB/s
decoder.layers.16.fc2, Linear: time=0.000020s, act=0.0625GB, throughput=3196.878049GB/s
decoder.layers.23.fc2, Linear: time=0.000020s, act=0.0625GB, throughput=3196.878049GB/s
decoder.layers.11.fc2, Linear: time=0.000020s, act=0.0625GB, throughput=3158.361446GB/s
decoder.layers.12.fc2, Linear: time=0.000020s, act=0.0625GB, throughput=3120.761905GB/s
decoder.layers.10.fc2, Linear: time=0.000021s, act=0.0625GB, throughput=3048.186047GB/s
decoder.layers.13.fc2, Linear: time=0.000021s, act=0.0625GB, throughput=3013.149425GB/s
decoder.layers.3.fc2, Linear: time=0.000021s, act=0.0625GB, throughput=2978.909091GB/s
decoder.layers.5.fc2, Linear: time=0.000021s, act=0.0625GB, throughput=2978.909091GB/s
decoder.layers.22.fc2, Linear: time=0.000021s, act=0.0625GB, throughput=2978.909091GB/s
decoder.layers.20.fc2, Linear: time=0.000021s, act=0.0625GB, throughput=2945.438202GB/s
decoder.layers.7.fc2, Linear: time=0.000022s, act=0.0625GB, throughput=2880.703297GB/s
decoder.layers.9.fc2, Linear: time=0.000022s, act=0.0625GB, throughput=2880.703297GB/s
decoder.layers.8.fc2, Linear: time=0.000022s, act=0.0625GB, throughput=2849.391304GB/s
decoder.layers.17.fc2, Linear: time=0.000022s, act=0.0625GB, throughput=2849.391304GB/s
decoder.layers.4.fc2, Linear: time=0.000023s, act=0.0625GB, throughput=2730.666667GB/s
decoder.layers.1.fc2, Linear: time=0.000024s, act=0.0625GB, throughput=2570.039216GB/s
decoder.layers.2.fc2, Linear: time=0.000025s, act=0.0625GB, throughput=2496.609524GB/s
decoder.layers.15.self_attn.out_proj, Linear: time=0.000020s, act=0.0471GB, throughput=2325.083088GB/s
decoder.layers.6.fc2, Linear: time=0.000027s, act=0.0625GB, throughput=2279.513043GB/s
decoder.layers.23.self_attn.out_proj, Linear: time=0.000021s, act=0.0471GB, throughput=2271.632902GB/s
decoder.layers.21.self_attn.out_proj, Linear: time=0.000022s, act=0.0471GB, throughput=2125.075941GB/s
decoder.layers.17.self_attn.out_proj, Linear: time=0.000024s, act=0.0471GB, throughput=1976.320625GB/s
decoder.layers.19.self_attn.out_proj, Linear: time=0.000024s, act=0.0471GB, throughput=1937.569240GB/s
decoder.layers.11.self_attn.out_proj, Linear: time=0.000025s, act=0.0471GB, throughput=1882.210119GB/s
decoder.layers.5.self_attn.out_proj, Linear: time=0.000026s, act=0.0471GB, throughput=1829.926505GB/s
decoder.layers.7.self_attn.out_proj, Linear: time=0.000027s, act=0.0471GB, throughput=1733.614583GB/s
decoder.layers.1.self_attn.out_proj, Linear: time=0.000029s, act=0.0471GB, throughput=1606.764736GB/s
decoder.layers.3.self_attn.out_proj, Linear: time=0.000029s, act=0.0471GB, throughput=1606.764736GB/s
decoder.layers.9.self_attn.out_proj, Linear: time=0.000032s, act=0.0471GB, throughput=1485.955357GB/s
decoder.layers.22.self_attn.v_proj, Linear: time=0.000011s, act=0.0156GB, throughput=1365.333333GB/s
decoder.layers.15.self_attn.v_proj, Linear: time=0.000012s, act=0.0156GB, throughput=1310.720000GB/s
decoder.layers.21.self_attn.v_proj, Linear: time=0.000012s, act=0.0156GB, throughput=1310.720000GB/s
decoder.layers.23.self_attn.v_proj, Linear: time=0.000012s, act=0.0156GB, throughput=1310.720000GB/s
decoder.layers.14.self_attn.v_proj, Linear: time=0.000013s, act=0.0156GB, throughput=1236.528302GB/s
decoder.layers.17.self_attn.v_proj, Linear: time=0.000013s, act=0.0156GB, throughput=1213.629630GB/s
decoder.layers.16.self_attn.v_proj, Linear: time=0.000013s, act=0.0156GB, throughput=1191.563636GB/s
decoder.layers.20.self_attn.v_proj, Linear: time=0.000013s, act=0.0156GB, throughput=1191.563636GB/s
decoder.layers.19.self_attn.v_proj, Linear: time=0.000013s, act=0.0156GB, throughput=1170.285714GB/s
decoder.layers.18.self_attn.k_proj, Linear: time=0.000014s, act=0.0156GB, throughput=1149.754386GB/s
decoder.layers.18.self_attn.v_proj, Linear: time=0.000014s, act=0.0156GB, throughput=1149.754386GB/s
decoder.layers.11.self_attn.v_proj, Linear: time=0.000014s, act=0.0156GB, throughput=1129.931034GB/s
decoder.layers.17.self_attn.k_proj, Linear: time=0.000014s, act=0.0156GB, throughput=1129.931034GB/s
decoder.layers.19.self_attn.k_proj, Linear: time=0.000014s, act=0.0156GB, throughput=1129.931034GB/s
decoder.layers.20.self_attn.k_proj, Linear: time=0.000014s, act=0.0156GB, throughput=1129.931034GB/s
decoder.layers.22.self_attn.k_proj, Linear: time=0.000014s, act=0.0156GB, throughput=1110.779661GB/s
decoder.layers.9.self_attn.v_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1057.032258GB/s
decoder.layers.23.self_attn.k_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1057.032258GB/s
decoder.layers.12.self_attn.v_proj, Linear: time=0.000015s, act=0.0156GB, throughput=1040.253968GB/s
